[0]501 Lionfish 11/Nov/2007     Chapter One     The Worst BirthdayContents   Next Chapter
[1]791    Not for the first time, an argument had broken out over breakfast at number four, Privet Drive
[15964]1221   'And he recounted the story of sending his letter to Sirius and Filch bursting in seconds later, demanding to see the letter
[15965]2466    To his slight surprise, Hermione found this story highly interesting, much more, indeed, than he did himself
[15966]5112   He said he was tipped off you were ordering Dungbombs
[15967]7   But who tipped him off
[15968]10877  'I dunno,' said Harry, shrugging
[15969]1749    Maybe Malfoy he'd think it was a laugh
[15970]1638   ' They walked between the tall stone pillars topped with winged boars and turned left on to the road into the village, the wind whip-, ping their hair into their eyes
[15971]440   Malfoy
[15972]6706  ' said Hermione, sceptically
[15973]0    Well 
[15974]0   
[15975]0   
[15976]292    yes 
[15977]0   
[15978]0   
[15979]73    maybe 
[15980]0   
[15981]0   
[15982]886   'And she remained deep in thought all the way into the outskirts of Hogsmeade
[15983]489   Where are we going, anyway
[15984]6088  ' Harry asked
[15985]22    The Three Broomsticks
[15986]12240  'Oh-no,' said Hermione, coming out of her reverie, no, it's always packed and really noisy
[15987]11892    I've told the others to meet us in the Hog's Head, that other pub, you know the one, it's not on the main road
[15988]5506    I think it's a bit 
[15989]0   
[15990]0   
[15991]771    you know 
[15992]0   
[15993]0   
[15994]6    dodgy 
[15995]0   
[15996]0   
[15997]7184    but students don't normally go in there, so I don't think we'll be overheard
[15998]7229   'They walked down the main street past Zonko's Wizarding Joke Shop, where they were not surprised to see Fred, George and Lee Jordan, past the post office, from which owls issued at regular intervals, and turned up a side-street at the top of which stood a small inn
[15999]6139    A battered wooden sign hung from a rusty bracket over the door, with a picture on it of a wild boar's severed head, leaking blood on to the white cloth around it
[16000]123    The sign creaked in the wind as they approached
[16001]652    All three of them hesitated outside the door
[16002]7342   Well, come on,' said Hermione, slightly nervously
[16003]6333    Harry led the way inside
[16004]1272   It was not at all like the Three Broomsticks, whose large bar gave an impression of gleaming warmth and cleanliness
[16005]5916    The Hog's Head bar comprised one small, dingy and very dirty room that smelled strongly of something that might have been goats
[16006]1137    The bay windows were so encrusted with grime that very little daylight could permeate the room, which was lit instead with the stubs of candles sitting on rough wooden tables
[16007]6348    The floor seemed at first glance to be compressed earth, though as Harry stepped on to it he realised that there was stone beneath what seemed to be the accumulated filth of centuries
[16008]22304   Harry remembered Hagrid mentioning this pub in his first year: Yeh get a lot o' funny folk in the Hog's Head,' he had said, explaining how he had won a dragon's egg from a hooded stranger there
[16009]13920    At the time Harry had wondered why Hagrid had not found it odd that the stranger kept his face hidden throughout their encounter; now he saw that keeping your face hidden was something of a fashion in the Hog's Head
[16010]8562    There was a man at the bar whose whole head was wrapped in dirty grey bandages, though he was still managing to gulp endless glasses of some smoking, fiery substance through a slit over his mouth; two figures shrouded in hoods sat at a table in one of the windows; Harry might have thought them dementors if they had not been talking in strong Yorkshire accents, and in a shadowy corner beside the fireplace sat a witch with a thick, black veil that fell to her toes
[16011]1170    They could just see the tip of her nose because it caused the veil to protrude slightly
[16012]11213   I don't know about this, Hermione,' Harry muttered, as they crossed to the bar
[16013]777    He was looking particularly at the heavily veiled witch
[16014]590    Has it occurred to you Umbridge might be under that
[16015]1828  'Hermione cast an appraising eye over the veiled figure
[16016]5859   Umbridge is shorter than that woman,' she said quietly
[16017]12697    And anyway, even if Umbridge does come in here there's nothing she can do to stop us, Harry, because I've double- and triple-checked the school rules
[16018]12525    We're not out of bounds; I specifically asked Professor Flitwick whether students were allowed to come in the Hog's Head, and he said yes, but he advised me strongly to bring our own glasses
[16019]2123    And I've looked up everything I can think of about study groups and homework groups and they're definitely allowed
[16020]9698    I just don't think it's a good idea if we parade what we're doing
[16021]15824   'No,' said Harry drily, especially as it's not exactly a homework group you're planning, is it
[16022]454  'The barman sidled towards them out of a back room
[16023]1800    He was a grumpy-looking old man with a great deal of long grey hair and beard
[16024]6480    He was tall and thin and looked vaguely familiar to Harry
[16025]0   What
[16026]20  ' he grunted
[16027]6705   Three Butterbeers, please,' said Hermione
[16028]593   The man reached beneath the counter and pulled up three very dusty, very dirty bottles, which he slammed on the bar
[16029]5093   Six Sickles,' he said
[16030]11661   I'll get them,' said Harry quickly, passing over the silver
[16031]11240    The barman's eyes travelled over Harry, resting for a fraction of a second on his scar
[16032]11583    Then he turned away and deposited Harry's money in an ancient wooden till whose drawer slid open automatically to receive it
[16033]10318    Harry, Ron and Hermione retreated to the furthest table from the bar and sat down, looking around
[16034]304    The man in the dirty grey bandages rapped the counter with his knuckles and received another smoking drink from the barman
[16035]771   You know what
[16036]2644  ' Ron murmured, looking over at the bar with enthusiasm
[16037]181    We could order anything we liked in here
[16038]2559    I bet that bloke would sell us anything, he wouldn't care
[16039]2672    I've always wanted to try Firewhisky-'You-are-a-prefect,' snarled Hermione
[16040]8078   Oh,' said Ron, the smile fading from his face
[16041]277    Yeah 
[16042]0   
[16043]0   
[16044]1097   'So, who did you say is supposed to be meeting us
[16045]6495  ' Harry asked, wrenching open the rusty top of his Butterbeer and taking a swig
[16046]4083   Just a couple of people,' Hermione repeated, checking her watch and looking anxiously towards the door
[16047]2580    I told them to be here about now and I'm sure they all know where it is-oh, look, this might be them now
[16048]680   'The door of the pub had opened
[16049]1282    A thick band of dusty sunlight split the room in two for a moment and then vanished, blocked by the incoming rush of a crowd of people
[16050]35490   First came Neville with Dean and Lavender, who were closely followed by Parvati and Padma Patil with (Harry's stomach did a back-flip) Cho and one of her usually-giggling girlfriends, then (on her own and looking so dreamy she might have walked in by accident) Luna Lovegood; then Katie Bell, Alicia Spinnet and Angelina Johnson, Colin and Dennis Creevey Ernie Macmillan, Justin Finch-Fletchley, Hannah Abbott, a Hufflepuff girl with a long plait clown her back whose name Harry did not know; three Ravenclaw boys he was pretty sure were called Anthony Goldstein, Michael Corner and Terry Boot, Ginny, closely followed by a tall skinny blond boy with an upturned nose whom Harry recognised vaguely as being a member of the Hufflepuff Quidditch team and, bringing up the rear, Fred and George Weasley with their friend Lee Jordan, all three of whom were carrying large paper bags crammed with Zonko's merchandise
